id,name,gender,yearOfBirth,birthCity,birthState,yearOfDeath,deathCity,deathState,url
10093,"Abakanowicz, Magdalena",None,1930,Polska,Unknown,0,Unknown,Unknown,http://www.tate.org.uk/art/artists/magdalena-abakanowicz-10093
0,"Abbey, Edwin Austin",None,1852,Philadelphia,United States,1911,London,United Kingdom,http://www.tate.org.uk/art/artists/edwin-austin-abbey-0
2756,"Abbott, Berenice",None,1898,Springfield,United States,1991,Monson,United States,http://www.tate.org.uk/art/artists/berenice-abbott-2756
1,"Abbott, Lemuel Francis",None,1760,Leicestershire,United Kingdom,1803,London,United Kingdom,http://www.tate.org.uk/art/artists/lemuel-francis-abbott-1
622,"Abrahams, Ivor",None,1935,Wigan,United Kingdom,0,Unknown,Unknown,http://www.tate.org.uk/art/artists/ivor-abrahams-622
2606,Absalon,None,1964,Tel Aviv-Yafo,Yisra'el,1993,Paris,France,http://www.tate.org.uk/art/artists/absalon-2606
9550,"Abts, Tomma",None,1967,Kiel,Deutschland,0,Unknown,Unknown,http://www.tate.org.uk/art/artists/tomma-abts-9550
623,"Acconci, Vito",None,1940,New York,United States,0,Unknown,Unknown,http://www.tate.org.uk/art/artists/vito-acconci-623
624,"Ackling, Roger",None,1947,Isleworth,United Kingdom,2014,Unknown,Unknown,http://www.tate.org.uk/art/artists/roger-ackling-624
625,"Ackroyd, Norman",None,1938,Leeds,United Kingdom,0,Unknown,Unknown,http://www.tate.org.uk/art/artists/norman-ackroyd-625
2411,"Adam, Robert",None,1728,Kirkcaldy,United Kingdom,1792,London,United Kingdom,http://www.tate.org.uk/art/artists/robert-adam-2411
626,"Adams, Harry William",None,1868,Worcester,United Kingdom,1947,Worcester,United Kingdom,http://www.tate.org.uk/art/artists/harry-william-adams-626
627,"Adams, Norman",None,1927,London,United Kingdom,2005,Unknown,Unknown,http://www.tate.org.uk/art/artists/norman-adams-627
628,"Adams, Robert",None,1917,Northampton,United Kingdom,1984,Unknown,Unknown,http://www.tate.org.uk/art/artists/robert-adams-628
629,"Adeney, Bernard",None,1878,London,United Kingdom,1966,Unknown,Unknown,http://www.tate.org.uk/art/artists/bernard-adeney-629
630,"Adler, Jankel",None,1895,Tuszyn,Polska,1949,Aldbourne,United Kingdom,http://www.tate.org.uk/art/artists/jankel-adler-630
2608,"Adshead, Mary",None,1904,London,United Kingdom,1995,Hampstead,United Kingdom,http://www.tate.org.uk/art/artists/mary-adshead-2608
631,"Adzak, Roy",None,1927,Reading,United Kingdom,1987,Paris,France,http://www.tate.org.uk/art/artists/roy-adzak-631
632,Afro,None,1912,Udine,Italia,1976,Zürich,Schweiz,http://www.tate.org.uk/art/artists/afro-afro-basaldella-632
633,"Agar, Eileen",None,1899,Ayacucho,Argentina,1991,London,United Kingdom,http://www.tate.org.uk/art/artists/eileen-agar-633
2,"Agasse, Jacques Laurent",None,1767,Genève,Schweiz,1849,London,United Kingdom,http://www.tate.org.uk/art/artists/jacques-laurent-agasse-2
3098,"Ahtila, Eija-Liisa",None,1959,Hämeenlinna,Suomi,0,Unknown,Unknown,http://www.tate.org.uk/art/artists/eija-liisa-ahtila-3098
8208,"Ai, Weiwei",None,1957,Beijing,Zhonghua,0,Unknown,Unknown,http://www.tate.org.uk/art/artists/ai-weiwei-8208
634,"Aitchison, Craigie",None,1926,Edinburgh,United Kingdom,2009,Unknown,Unknown,http://www.tate.org.uk/art/artists/craigie-aitchison-634
635,"Ajmone, Giuseppe",None,1923,Carpignano Sesia,Italia,2005,Unknown,Unknown,http://www.tate.org.uk/art/artists/giuseppe-ajmone-635
14744,"Aksel, Erdag",None,1953,Izmir,Türkiye,0,Unknown,Unknown,http://www.tate.org.uk/art/artists/erdag-aksel-14744
7794,"Al-Ani, Jananne",None,1966,Kirkuk,Al-‘Iraq,0,Unknown,Unknown,http://www.tate.org.uk/art/artists/jananne-al-ani-7794
3067,"Albers, Anni",None,1899,Berlin,Deutschland,1994,Orange,United States,http://www.tate.org.uk/art/artists/anni-albers-3067
636,"Albers, Josef",None,1888,Bottrop,Deutschland,1976,New Haven,United States,http://www.tate.org.uk/art/artists/josef-albers-636
637,"Albright, Ivan",None,1897,Chicago,United States,1983,Woodstock,United States,http://www.tate.org.uk/art/artists/ivan-albright-637
638,"Aldridge, John",None,1905,Greenwich,United Kingdom,1983,Unknown,Unknown,http://www.tate.org.uk/art/artists/john-aldridge-638
639,"Alechinsky, Pierre",None,1927,Bruxelles,België,0,Unknown,Unknown,http://www.tate.org.uk/art/artists/pierre-alechinsky-639
640,"Alexander, Edwin",None,1870,Edinburgh,United Kingdom,1926,Musselburgh,United Kingdom,http://www.tate.org.uk/art/artists/edwin-alexander-640
2470,"Alexander, William",None,1767,Maidstone,United Kingdom,1816,Maidstone,United Kingdom,http://www.tate.org.uk/art/artists/william-alexander-2470
11315,"Alimpiev, Victor",None,1973,Moskva,Rossiya,0,Unknown,Unknown,http://www.tate.org.uk/art/artists/victor-alimpiev-11315
